Name,Mean (ps),2*Stdev (ps)
All.comparison: creation benchmark (small).spade 2.local insertion.2000,311092382,19700108
All.comparison: creation benchmark (small).spade 2.local insertion.4000,742742382,56182954
All.comparison: creation benchmark (small).spade 2.local insertion.6000,1210774218,116946354
All.comparison: creation benchmark (small).spade 2.local insertion.8000,1698433593,116310472
All.comparison: creation benchmark (small).spade 2.local insertion.10000,2268371875,120513582
All.comparison: creation benchmark (small).spade 2.local insertion.12000,2737354687,228085920
All.comparison: creation benchmark (small).spade 2.local insertion.14000,3289382812,288592522
All.comparison: creation benchmark (small).spade 2.uniform.2000,300283398,29643622
All.comparison: creation benchmark (small).spade 2.uniform.4000,702290039,32623882
All.comparison: creation benchmark (small).spade 2.uniform.6000,1164937890,52463744
All.comparison: creation benchmark (small).spade 2.uniform.8000,1610905468,126467112
All.comparison: creation benchmark (small).spade 2.uniform.10000,2087285937,112792160
All.comparison: creation benchmark (small).spade 2.uniform.12000,2541711718,180569476
All.comparison: creation benchmark (small).spade 2.uniform.14000,2994267187,252829410
All.comparison: creation benchmark (small).spade 2 hierarchy.local insertion.2000,326694238,15238890
All.comparison: creation benchmark (small).spade 2 hierarchy.local insertion.4000,818471875,71639774
All.comparison: creation benchmark (small).spade 2 hierarchy.local insertion.6000,1370776171,66612114
All.comparison: creation benchmark (small).spade 2 hierarchy.local insertion.8000,1907046093,107691130
All.comparison: creation benchmark (small).spade 2 hierarchy.local insertion.10000,2441955468,111352690
All.comparison: creation benchmark (small).spade 2 hierarchy.local insertion.12000,2977137500,211944304
All.comparison: creation benchmark (small).spade 2 hierarchy.local insertion.14000,3531112500,213586418
All.comparison: creation benchmark (small).spade 2 hierarchy.uniform.2000,315708789,26438008
All.comparison: creation benchmark (small).spade 2 hierarchy.uniform.4000,762578515,51861054
All.comparison: creation benchmark (small).spade 2 hierarchy.uniform.6000,1271646875,116516610
All.comparison: creation benchmark (small).spade 2 hierarchy.uniform.8000,1736853125,132822436
All.comparison: creation benchmark (small).spade 2 hierarchy.uniform.10000,2239850000,211007952
All.comparison: creation benchmark (small).spade 2 hierarchy.uniform.12000,2752789843,184957760
All.comparison: creation benchmark (small).spade 2 hierarchy.uniform.14000,3274682031,174898948
All.comparison: creation benchmark (small).cdt.local insertion.2000,185133789,18506518
All.comparison: creation benchmark (small).cdt.local insertion.4000,456869726,36590282
All.comparison: creation benchmark (small).cdt.local insertion.6000,798602343,62952300
All.comparison: creation benchmark (small).cdt.local insertion.8000,1151780468,113019260
All.comparison: creation benchmark (small).cdt.local insertion.10000,1483214453,80783196
All.comparison: creation benchmark (small).cdt.local insertion.12000,1871492968,122836996
All.comparison: creation benchmark (small).cdt.local insertion.14000,2206970703,56137534
All.comparison: creation benchmark (small).cdt.uniform.2000,183627734,8428490
All.comparison: creation benchmark (small).cdt.uniform.4000,458045703,38281308
All.comparison: creation benchmark (small).cdt.uniform.6000,830218164,57190932
All.comparison: creation benchmark (small).cdt.uniform.8000,1243717968,63027418
All.comparison: creation benchmark (small).cdt.uniform.10000,1615207812,112107364
All.comparison: creation benchmark (small).cdt.uniform.12000,2006397656,138765486
All.comparison: creation benchmark (small).cdt.uniform.14000,2403325000,234829062
All.comparison: creation benchmark (small).delaunator.local insertion.2000,145410058,10641848
All.comparison: creation benchmark (small).delaunator.local insertion.4000,340117626,25759982
All.comparison: creation benchmark (small).delaunator.local insertion.6000,648811523,30143244
All.comparison: creation benchmark (small).delaunator.local insertion.8000,950008984,58223366
All.comparison: creation benchmark (small).delaunator.local insertion.10000,1385402343,113847304
All.comparison: creation benchmark (small).delaunator.local insertion.12000,1691472656,104859358
All.comparison: creation benchmark (small).delaunator.local insertion.14000,2011621093,127822728
All.comparison: creation benchmark (small).delaunator.uniform.2000,145195068,8960648
All.comparison: creation benchmark (small).delaunator.uniform.4000,314152197,13916684
All.comparison: creation benchmark (small).delaunator.uniform.6000,595306054,43521218
All.comparison: creation benchmark (small).delaunator.uniform.8000,884084179,41530594
All.comparison: creation benchmark (small).delaunator.uniform.10000,1286358203,95363058
All.comparison: creation benchmark (small).delaunator.uniform.12000,1642407031,94489594
All.comparison: creation benchmark (small).delaunator.uniform.14000,2074750000,156734388
All.comparison: creation benchmark (small).moonlight-triangulation.local insertion.2000,304817675,24367026
